GEONAMEID;NAME;ASCIINAME;ALTERNATENAMES;LATITUDE;LONGITUDE;FEATURE_CLASS;FEATURE_CODE;COUNTRY_CODE;CC2;ADMIN1_CODE;ADMIN2_CODE;ADMIN3_CODE;ADMIN4_CODE;POPULATION;ELEVATION;DEM;TIMEZONE;MODIFICATION_DATE
11001772;Ion Creangă;Ion Creanga;;46.87029;26.98023;P;PPLA2;RO;;28;123102;;;2339;;187;Europe/Bucharest;2015-12-18
11001773;Poiana;Poiana;;47.06412;26.32989;P;PPL;RO;;28;125169;;;375;;512;Europe/Bucharest;2015-12-18
11001775;Leghin;Leghin;;47.22521;26.19837;P;PPL;RO;;28;123521;;;675;;494;Europe/Bucharest;2015-12-18
11001777;Dumbrava-Deal;Dumbrava-Deal;;46.87676;26.4973;P;PPL;RO;;28;120824;;;412;;309;Europe/Bucharest;2015-12-18
11001780;Hanul Ancuței;Hanul Ancutei;;47.09603;26.6939;P;PPL;RO;;28;124750;;;25;;243;Europe/Bucharest;2015-12-18
11001784;Ulmet;Ulmet;;44.2516;24.25078;P;PPL;RO;;29;126825;;;258;;101;Europe/Bucharest;2015-12-19
11001785;Tonești;Tonesti;;44.78682;24.42684;P;PPL;RO;;29;127411;;;451;;352;Europe/Bucharest;2015-12-19
11001786;Rudari;Rudari;;43.99082;24.59284;P;PPL;RO;;29;128613;;;0;;54;Europe/Bucharest;2015-12-19
11001787;Măgura;Magura;;44.66792;24.62293;P;PPL;RO;;29;129317;;;93;;265;Europe/Bucharest;2015-12-19
11001788;Urzica;Urzica;;43.8567;24.28952;P;PPLA2;RO;;29;129629;;;1514;;86;Europe/Bucharest;2015-12-19
11001881;Schiau;Schiau;;44.9795;26.23293;P;PPL;RO;;30;131620;;;26;;123;Europe/Bucharest;2015-12-19
11001889;Buda;Buda;;44.96442;25.92054;P;PPL;RO;;30;132075;;;496;;210;Europe/Bucharest;2015-12-19
11002015;Plopeni;Plopeni;;45.06552;25.98114;P;PPL;RO;;30;131461;;;1590;;229;Europe/Bucharest;2015-12-20
11002072;Tarna Mare;Tarna Mare;Nagytarna;48.09175;23.19369;P;PPLA2;RO;;32;139009;;;1951;;162;Europe/Bucharest;2015-12-21
11002459;Colonia Sighetu Silvaniei;Colonia Sighetu Silvaniei;Szilagyszigettelep,Szilágyszigettelep;47.36253;22.91248;P;PPL;RO;;31;140501;;;75;;191;Europe/Bucharest;2015-12-28
11002464;Bercea;Bercea;Bercse;47.02438;23.18508;P;PPL;RO;;31;142676;;;189;;288;Europe/Bucharest;2015-12-28
11002473;Pădureni;Padureni;Erdeihazak,Erdeiházak;45.92869;24.2187;P;PPL;RO;;33;145603;;;3;;458;Europe/Bucharest;2015-12-29
11002564;Gara;Gara;;47.77609;26.04653;P;PPL;RO;;34;146931;;;439;;317;Europe/Bucharest;2015-12-30
11002727;Gemenea;Gemenea;;47.45699;25.71232;P;PPL;RO;;34;150356;;;843;;653;Europe/Bucharest;2016-01-02
11002731;Ciumulești;Ciumulesti;;47.37766;26.39517;P;PPL;RO;;34;150766;;;384;;355;Europe/Bucharest;2016-01-02
11002732;Bujoru;Bujoru;;43.95771;24.84806;P;PPL;RO;;35;152412;;;276;;70;Europe/Bucharest;2016-01-02
11002733;Nicolae Bălcescu;Nicolae Balcescu;;43.96011;24.83102;P;PPL;RO;;35;152412;;;855;;93;Europe/Bucharest;2016-01-02
11002734;Călmățuiu de Sus;Calmatuiu de Sus;;44.02632;24.8123;P;PPLA2;RO;;35;152467;;;840;;88;Europe/Bucharest;2016-01-02
